pool,mode,tf,horizon,opportunities,active_observations,coverage,hit_rate,mean_gross_bps,mean_net_2bps,mean_net_5bps,fixed_clock_mean_net_2bps,new_direction_events,event_mean_gross_bps
SPY,MOM,30,60,450,450,1.0,0.38666666666666666,-2.6818677043478374,-6.681867704347838,-12.681867704347837,-6.681867704347838,22,0.617618357036715
SPY,MOM,60,15,585,584,0.9982905982905983,0.4811643835616438,-0.303871909978196,-4.303871909978196,-10.303871909978197,-4.296514863978234,16,0.32373582634664944
SPY,MOM,60,30,540,539,0.9981481481481481,0.44341372912801486,-0.616725248767398,-4.616725248767398,-10.616725248767398,-4.608175757565977,15,-0.11665493708301611
SPY,MOM,60,60,450,449,0.9977777777777778,0.5657015590200446,0.48007947399192114,-3.519920526008079,-9.519920526008079,-3.512098480394727,15,-0.2873295861607339
SPY,MOM+CVD,5,15,585,382,0.652991452991453,0.44502617801047123,-0.5101559645371578,-4.510155964537158,-10.510155964537157,-2.9450932965011867,70,-0.7281610984868188
SPY,MOM+CVD,5,30,540,342,0.6333333333333333,0.4678362573099415,-0.539804678315126,-4.539804678315126,-10.539804678315127,-2.8752096295995795,67,-1.3552931079068826
SPY,MOM+CVD,5,60,450,293,0.6511111111111111,0.378839590443686,-2.3388467965956803,-6.338846796595679,-12.33884679659568,-4.12729358089452,54,-2.2391529069290645
SPY,MOM+CVD,15,15,585,336,0.5743589743589743,0.40476190476190477,-1.4833548324931236,-5.4833548324931245,-11.483354832493124,-3.1494140576370766,54,-1.2682370630267703
SPY,MOM+CVD,15,30,540,315,0.5833333333333334,0.3682539682539683,-2.225052366034622,-6.225052366034623,-12.225052366034623,-3.6312805468535294,49,-1.2202576464108355
SPY,MOM+CVD,15,60,450,255,0.5666666666666667,0.25882352941176473,-5.040847005988005,-9.040847005988002,-15.040847005988004,-5.123146636726536,33,-2.028050122695401
SPY,MOM+CVD,30,15,585,280,0.47863247863247865,0.3678571428571429,-1.3069599205218299,-5.30695992052183,-11.306959920521829,-2.5400833807625856,23,-1.566144182641956
SPY,MOM+CVD,30,30,540,249,0.46111111111111114,0.3453815261044177,-2.821570392155454,-6.821570392155453,-12.821570392155454,-3.1455019030494586,20,-3.3978313537268434
SPY,MOM+CVD,30,60,450,217,0.4822222222222222,0.271889400921659,-5.263472464427284,-9.263472464427286,-15.263472464427286,-4.467052277290491,14,-6.595619308865731
SPY,MOM+CVD,60,15,585,289,0.49401709401709404,0.4186851211072664,-1.2547226979886719,-5.254722697988672,-11.254722697988672,-2.5959228371260274,22,-2.1373191242601335
SPY,MOM+CVD,60,30,540,281,0.5203703703703704,0.35231316725978645,-2.0914271706683163,-6.091427170668316,-12.091427170668315,-3.1697982128848095,21,-4.938250607281269
SPY,MOM+CVD,60,60,450,227,0.5044444444444445,0.46255506607929514,-1.9257141457080489,-5.925714145708049,-11.92571414570805,-2.989193580168283,19,-2.1211855628296794
